smiles,taste,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Oc1cc2c(cc1O)C1c3ccc(c(c3OCC1(O)C2)O)O,sweet,10.888759448223734,10.888759448223734,0.057654950869236554,-1.2232350718065006,0.46946133619296915,25.045454545454547,302.282,288.17,302.07903816799995,114,0,0.2003313072377279,-0.5042530511717221,0.5042530511717221,0.2003313072377279,0.9545454545454546,1.6818181818181819,2.4545454545454546,16.503905035325776,9.801241167766289,2.505922577738417,-2.362805175232267,2.5511306866207866,-2.4342454533043703,5.625797388477271,-0.02277586541084023,2.749510308440971,1.9681617222066574,781.1106992923669,15.64589989101247,11.44528117628488,11.44528117628488,10.404502649584103,6.852902985043112,6.852902985043112,5.89342268753487,5.89342268753487,4.499416521842779,4.499416521842779,3.5232564253155676,3.5232564253155676,-2.6,128968.53052773217,13.090051020408161,3.9826589264777366,1.5248159105422978,125.02131746657594,30.269499928003576,12.207932775496605,22.99804733313562,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,29.32600418877882,17.9021791607844,0.0,30.269499928003576,0.0,0.0,0.0,0.0,17.93977848007109,6.606881964512918,40.95582274893743,0.0,28.747559166419524,4.736862953800049,0.0,28.747559166419524,0.0,37.74056974970013,6.4208216229260096,0.0,22.60826052125238,24.26546827384644,0.0,0.0,0.0,110.38000000000001,11.518956857145081,25.532636974203527,0.0,41.775262753858456,16.690354475090988,0.0,18.19910120538483,6.06636706846161,0.0,0.0,4.736862953800049,5.45869567271353,0.0,0.0,49.81973400625682,0.700046768707483,-1.5407056773326615,5.7707588498362306,0.2657919973544973,-0.057654950869236554,0.0,0.25,22,5,6,1,1,2,0,2,0,2,2,0,6,5,6,1,0,0,0,0,0,2,2.369691297476253,4,1.3204999999999998,75.53500000000001,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)=CCCC(C)(O)C1CC(O)C(=CC1=O)C,sweet,11.931030013857395,11.931030013857395,0.0694444444444442,-1.0543518518518518,0.7552416515026388,27.444444444444443,252.35399999999998,228.16199999999995,252.172544628,102,0,0.1612745462671822,-0.3894035422656246,0.3894035422656246,0.1612745462671822,1.5555555555555556,2.1666666666666665,2.7222222222222223,16.287226382445944,9.745210855379378,2.3916358530711284,-2.348451485699548,2.3257156428812706,-2.4300228631432614,5.9389056048051,-0.12967231773010107,2.218509367589088,2.732314777750736,361.4995490565424,13.922285251880869,11.733396901781926,11.733396901781926,8.236887990122199,6.496278902282813,6.496278902282813,5.772131669381603,5.772131669381603,3.651708685539839,3.651708685539839,2.334140242314746,2.334140242314746,-0.9299999999999999,5805.839014980644,15.128582308142942,5.806757820026543,3.786313953271436,109.2133930159201,10.213054789681411,0.0,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,11.64912463690315,58.606538304443674,0.0,17.622923244893386,15.007591973753232,5.783244946364939,0.0,0.0,5.917906046161393,58.662430866272516,0.0,23.2982492738063,0.0,0.0,0.0,0.0,0.0,0.0,27.70131693477834,4.794537184071822,5.917906046161393,46.95741366754052,23.2982492738063,0.0,0.0,0.0,57.53,17.622923244893386,15.007591973753232,0.0,5.783244946364939,18.414747775921285,6.4208216229260096,11.64912463690315,13.847474399381248,13.847474399381248,6.076020106833881,0.0,0.0,0.0,11.931030013857395,20.235417821449566,0.8418464453682712,-0.5678127362055934,0.0,4.518893166834635,7.4572919553623915,0.0,0.6666666666666666,18,2,3,1,0,1,0,0,0,0,3,0,3,2,3,0,4,0,0,0,0,3,4.880445201318013,1,2.380000000000001,72.16660000000003,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1c(cc2c(c1O)C(=O)C(OC(C)=O)C(O2)c1ccc(c(c1)O)O)O,sweet,12.921813271604938,12.921813271604938,0.15577144746787597,-1.4730631141345432,0.46528029393992565,18.37037037037037,376.31700000000006,360.18900000000014,376.07943209199993,142,0,0.3030073793941422,-0.5042598674813256,0.5042598674813256,0.3030073793941422,1.0740740740740742,1.7777777777777777,2.3703703703703702,16.578795748057463,9.917861744679147,2.4348260904415193,-2.3239675947764873,2.4874550659900727,-2.3920777189842912,6.069140212031114,-0.1484463824425491,2.590181489691907,2.162899426446297,910.1209336224806,19.877950698581344,14.294197449456906,14.294197449456906,12.739289860616424,7.77076847183964,7.77076847183964,5.83157133439965,5.83157133439965,4.057507663582561,4.057507663582561,2.878458758428924,2.878458758428924,-3.62,853034.8307261944,18.179479123004096,6.596659388629392,3.0308367090058748,152.5129337558036,34.63669844076296,11.3129633249809,29.10201372088392,17.636723167397147,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,6.06636706846161,12.13273413692322,18.55355575984923,7.109797541277533,44.22577280890661,11.75255023431679,0.0,0.0,0.0,19.13166997518723,7.109797541277533,35.392371257240434,0.0,34.49707099970343,9.473725907600098,0.0,34.49707099970343,0.0,45.39242374270544,9.53140013787187,0.0,28.94914375490474,24.26546827384644,0.0,0.0,0.0,142.75000000000003,41.20901850966511,30.015183947506465,0.0,28.375438483245706,0.0,19.056471336613843,19.242531678200752,0.0,0.0,0.0,14.210588861400147,15.646272214387743,0.0,24.404829407071468,39.41561902616147,-0.08287228626018295,-3.980225133862848,4.792252509028303,-2.660475245653818,1.102592067691274,1.1953407747699218,0.2222222222222222,27,4,9,0,1,1,0,2,0,2,2,0,9,4,9,1,3,0,0,0,0,2,4.4416233939687775,3,1.7657000000000012,89.34870000000002,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(cc1O)C1Cc2cccc(c2C(=O)O1)OC1OC(CO)C(O)C(O)C1O,sweet,12.836097043755775,12.836097043755775,0.06283123138552416,-1.6126945330336386,0.3958228901818139,29.71875,448.4240000000001,424.23200000000026,448.13694696799985,172,0,0.34233526927215063,-0.5042464257247399,0.5042464257247399,0.34233526927215063,1.0625,1.84375,2.53125,16.706421297271195,9.934984506814969,2.4498612293149846,-2.3950465053436836,2.3809888513259416,-2.5965063628388916,5.949958114001769,-0.277134598757729,2.787698603787304,1.5815006233125457,961.9987585850438,22.99083487370371,17.119726222467712,17.119726222467712,15.332937555743039,10.00609439299998,10.00609439299998,7.6347613262127,7.6347613262127,5.637516968956834,5.637516968956834,3.889154768233394,3.889154768233394,-2.89,15535699.358579248,22.309163456434455,8.925841424857753,3.984019914885886,182.71312794151993,44.480088789403716,41.83279526372241,11.49902366656781,6.290026729335213,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,18.19910120538483,29.32600418877882,6.4208216229260096,13.716679505790452,49.274625973475544,5.969305287951849,0.0,0.0,0.0,43.23068029100273,13.716679505790452,53.08855688586065,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,0.0,75.92451404827425,15.894547530526108,0.0,27.58885804691111,36.39820241076966,0.0,0.0,0.0,155.14000000000001,49.38604592054149,30.327174158275348,0.0,17.062475158264807,23.297236439603907,0.0,19.242531678200752,24.26546827384644,0.0,0.0,18.947451815200196,21.624265308797007,0.0,12.836097043755775,49.47799898740758,1.3376364001625554,-0.39106005692280577,9.602406250087144,-7.652721256720039,-0.6010598733956884,1.4331038634951343,0.4090909090909091,32,5,10,0,2,2,0,2,0,2,6,0,10,5,10,2,5,0,1,1,0,6,6.222751729167669,4,0.033699999999999786,107.35650000000004,0,4,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON=C(C)C1CCC(=CC1)C=NO,sweet,8.362701810675295,8.362701810675295,0.4636970899470899,0.4636970899470899,0.4271070902343809,23.714285714285715,196.25,180.12199999999996,196.121177752,78,0,0.10616408388395168,-0.41085775627197174,0.41085775627197174,0.10616408388395168,1.7142857142857142,2.5,3.0,16.61808850163165,9.870452189575357,2.1609168120537707,-2.18701745130812,2.2333487236106517,-2.144688651001605,5.850845204647661,0.2101106623637269,2.1962528762102345,2.537379516281304,253.21187563522582,10.38890505706126,8.603260228092259,8.603260228092259,6.774386907679233,4.716951829565361,4.716951829565361,3.410152077093927,3.410152077093927,2.4956910478688346,2.4956910478688346,1.6438272191789864,1.6438272191789864,-1.32,1546.162024852005,10.758864353312303,5.4186765930862135,2.8679278643122763,83.93479682406462,10.044841608513924,7.109797541277533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38744556033496,31.759306598537922,5.917906046161393,11.926285582306019,10.044841608513924,11.926285582306019,0.0,0.0,16.22933149966247,26.186202068468653,7.109797541277533,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,24.243336148360843,4.8375885837366335,5.917906046161393,26.186202068468653,21.96055009040423,0.0,0.0,0.0,54.18000000000001,0.0,0.0,0.0,0.0,5.917906046161393,30.547254401617995,6.2146005795353165,7.109797541277533,6.923737199690624,16.38744556033496,10.044841608513924,0.0,0.0,4.732117898085161,15.303708203973356,2.122874149659864,0.4636970899470899,0.0,6.50345025510204,1.9792978395061729,1.5615212303929837,0.6,14,1,4,1,0,1,0,0,0,0,1,0,4,1,4,0,3,0,0,0,0,1,4.164200459963072,1,2.1952000000000003,55.820500000000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(cc1O)C1OC2CC3CCC2(CS1)C3(C)C,sweet,10.006611223964894,10.006611223964894,0.030167705971277048,0.030167705971277048,0.8786343357656655,38.77272727272727,320.454,296.262,320.144615628,120,0,0.15999897115215242,-0.5042465431325072,0.5042465431325072,0.15999897115215242,1.3636363636363635,2.1818181818181817,2.8636363636363638,32.1666536500133,9.693717813164508,2.6566524412415236,-2.470045343269382,2.699496026175827,-2.451397161012665,7.9898769453192156,-0.06700161536585415,2.882353157921938,1.580546943081538,581.701148756024,15.535169427003234,13.464487206775495,14.28098378770322,10.476311962521509,8.117672077302295,9.166426867282953,7.5480703767191955,8.598231194772733,6.612906883757686,7.980727997861998,4.971933648423262,6.674705706488809,-0.8700000000000002,158713.8942878136,14.705249687895495,4.811206739818759,1.798435307619768,135.9376492682436,14.580253302440804,5.435998371569083,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,11.761884949391115,19.913841467842857,48.29154701295642,11.167844076143568,13.213763929025836,14.580253302440804,11.761884949391115,0.0,0.0,16.747886984954953,44.649904027476666,12.862651148024323,23.762552697081826,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,11.761884949391115,24.07314493061333,4.736862953800049,16.747886984954953,44.10938913142536,18.19910120538483,0.0,0.0,0.0,38.69,0.0,5.106527394840706,0.0,11.185510204852989,22.68345915982577,11.48135753785839,25.01531847552482,13.176164609739143,23.894619086314336,13.847474399381248,9.473725907600098,11.621786536775714,1.8931275982615265,0.0,10.006611223964894,1.8256500928858432,2.6800851500558394,5.614190956475182,4.243536610044997,4.877227691607201,1.571117473262134,0.6666666666666666,22,1,3,2,1,3,0,1,0,1,4,2,4,1,4,1,2,2,1,3,1,4,3.215908927687295,4,4.357700000000004,88.28580000000005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COc1cc2c(cc1O)CC1(C)c3ccccc3OCC21O,sweet,11.417894935752079,11.417894935752079,0.09842634584698073,-1.1273148148148149,0.8490281549008248,28.318181818181817,298.338,280.19399999999996,298.12050905599995,114,0,0.16038139714169178,-0.5042477532591655,0.5042477532591655,0.16038139714169178,1.1818181818181819,1.9545454545454546,2.727272727272727,16.496837686125005,9.676822336799908,2.5854687454122205,-2.444366774080064,2.571340033381104,-2.5102528941837177,5.581225564868985,-0.07643757454090398,2.74015812742971,1.955389931125884,754.6287818962375,15.535169427003234,12.589238949438494,12.589238949438494,10.493148714927115,7.345096290371196,7.345096290371196,6.335196103333336,6.335196103333336,5.225165315386952,5.225165315386952,3.916343531832019,3.916343531832019,-2.1999999999999997,144113.13639591073,13.462049861495844,4.168830659835952,1.4530612244897962,128.482045668288,19.68678069728151,17.957444608780513,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.122838405075452,35.74682581170483,10.978441961093775,7.109797541277533,19.68678069728151,0.0,0.0,0.0,0.0,24.360600102997104,13.716679505790452,53.08855688586065,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,0.0,23.92973429547186,17.436862903306476,0.0,23.614091674781612,36.39820241076966,0.0,0.0,0.0,58.92,11.016041280380467,10.213054789681411,0.0,12.356393797796823,12.170333456209914,22.439866308374892,7.109797541277533,12.13273413692322,24.26546827384644,6.923737199690624,9.473725907600098,11.008312547241118,0.0,0.0,21.451400777903757,1.0989417989417998,1.2872704868984632,11.248920566683463,0.6495644368858655,2.249325396825397,1.5062639886201394,0.3333333333333333,22,2,4,1,1,2,0,2,0,2,2,0,4,2,4,1,1,0,0,0,0,2,2.5509548275838276,4,2.494800000000001,81.54860000000004,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(cc1)C(=O)C=CC(O)=O,sweet,11.357794312169311,11.357794312169311,0.34717309145880537,-1.1417947425883932,0.5988222234372076,10.2,206.19699999999997,196.11699999999996,206.0579088,78,0,0.32794096758196517,-0.4967677863726337,0.4967677863726337,0.32794096758196517,1.2,1.8,2.2666666666666666,16.46533458915198,10.115614285993642,2.0157731599123507,-1.9905751788025807,2.113367018087843,-1.9614153336997628,6.063439436596343,-0.13094890167996878,2.2569932701690143,2.785149244594159,377.0042667946855,11.259148545064338,8.136060082029303,8.136060082029303,7.1302289553358005,4.226278331478515,4.226278331478515,2.7643233116555908,2.7643233116555908,1.7518213629455925,1.7518213629455925,0.9984859989157444,0.9984859989157444,-2.0999999999999996,2266.0212432496905,10.977519379844964,4.95024333881867,3.2650793650793655,86.79733384108619,9.843390348640755,5.749511833283905,5.783244946364939,0.0,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,0.0,30.34148838068032,11.639471598530877,7.109797541277533,19.4324647167844,11.75255023431679,0.0,0.0,0.0,0.0,7.109797541277533,41.9809599792112,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,23.968875170435027,4.794537184071822,0.0,10.357988675768818,36.417508487514205,0.0,0.0,0.0,63.6,5.969305287951849,9.589074368143644,0.0,5.783244946364939,11.3129633249809,12.152040213667762,7.109797541277533,24.26546827384644,0.0,0.0,9.843390348640755,4.9236808442512805,0.0,21.534273361752618,8.332413692341541,0.4243518518518521,-0.8419639707734938,6.434915910808767,1.830067791005291,0.0,1.5289271854288087,0.09090909090909091,15,1,4,0,0,0,0,1,0,1,0,0,3,1,4,0,4,0,0,0,0,0,3.622759479122026,1,1.5187,54.10030000000001,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1=CCC(=CC1)C=NO,sweet,8.192324263038548,8.192324263038548,0.8987037037037036,0.8987037037037036,0.25511961986749615,18.9,137.18200000000002,126.09399999999998,137.084063972,54,0,0.06930427247469564,-0.4108576067433608,0.4108576067433608,0.06930427247469564,1.5,2.3,2.8,16.432862925811236,10.01612084494737,1.977760268330112,-2.04651618790343,2.1411098187319473,-1.901177065609535,5.783135364912032,0.3213692295806752,1.9451446018149496,2.536312438006631,192.08384997862262,7.397341225498538,6.040691560941889,6.040691560941889,4.825698502695489,3.3478276556458733,3.3478276556458733,2.4823337071897797,2.4823337071897797,1.5960098101681224,1.5960098101681224,0.9303980573101862,0.9303980573101862,-1.05,210.07561699601456,7.061731843575418,3.202642772252455,1.7229906689308658,60.552403348242166,5.20725302477729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88085747048757,25.33848497561191,0.0,6.2146005795353165,5.20725302477729,6.2146005795353165,0.0,0.0,5.15571272675054,19.765380445542643,0.0,23.2982492738063,0.0,0.0,0.0,0.0,0.0,0.0,11.421853604312606,0.0,0.0,19.765380445542643,28.45396200055684,0.0,0.0,0.0,32.59,0.0,0.0,0.0,0.0,0.0,18.414747775921285,11.787705109604584,0.0,0.0,24.231490140108924,5.20725302477729,0.0,0.0,0.0,11.15416761148904,2.4751757369614515,0.0,0.0,7.603425925925926,2.100564058956916,0.0,0.375,10,1,2,1,0,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,2.261620444841182,1,2.1129000000000002,41.352500000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(C)C1=CC=C(CC1)C=NO,sweet,8.322987843285462,8.322987843285462,0.18413454270597085,0.18413454270597085,0.4114353593203019,19.846153846153847,181.23499999999999,166.11499999999998,181.11027872,72,0,0.07557449304209282,-0.4108576097137548,0.4108576097137548,0.07557449304209282,1.5384615384615385,2.3076923076923075,2.769230769230769,16.4739967539503,9.95818920476204,2.1020600168719086,-2.166691637563641,2.2041054983013044,-2.1044287003357414,5.784958674741968,0.14351355076630984,2.1833747227715956,2.6407118333276767,240.7639251168273,9.681798275874712,8.026290120595378,8.026290120595378,6.274386907679233,4.374640362695299,4.374640362695299,3.105663531889501,3.105663531889501,2.313112589304017,2.313112589304017,1.3413056118363318,1.3413056118363318,-1.09,969.4183769105884,9.993963056255247,4.819664110304572,2.700156814221863,78.39583280654226,9.94411597857734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.307752940418304,30.911589505681178,7.109797541277533,12.318566967283619,9.94411597857734,6.2146005795353165,0.0,0.0,5.15571272675054,25.869346833290944,7.109797541277533,23.2982492738063,0.0,0.0,0.0,0.0,0.0,0.0,24.635617533338444,4.736862953800049,0.0,19.765380445542643,28.45396200055684,0.0,0.0,0.0,41.82,0.0,0.0,0.0,6.103966387748303,0.0,18.414747775921285,11.787705109604584,7.109797541277533,19.075777413358384,5.15571272675054,9.94411597857734,5.204273510330058,0.0,0.0,11.31859481292517,2.33994708994709,0.0,0.0,7.5630593348450486,2.032538580246914,1.708253338372386,0.5,13,1,3,1,0,1,0,0,0,0,1,0,3,1,3,0,3,0,0,0,0,1,3.7051957739956314,1,2.1279,52.14950000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
